Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Alec Bohm,26,104,Maj-NL,Philadelphia,158,664,604,79,164,34,0,21,103,48,1,103,6,0,6,25,4,1,0.272,0.328,0.432,0.76,664761
Corbin Carroll,22,96,Maj-NL,Arizona,172,723,631,127,179,31,11,27,86,66,2,138,14,7,5,7,59,6,0.284,0.362,0.496,0.858,682998
Elly De La Cruz,21,127,Maj-NL,Cincinnati,98,427,388,67,91,15,7,13,44,35,3,144,2,1,1,6,35,8,0.235,0.301,0.41,0.71,682829
Ty France,28,127,Maj-AL,Seattle,158,665,587,79,147,32,0,12,58,43,0,117,34,0,1,25,1,0,0.25,0.337,0.366,0.703,664034
Gunnar Henderson,22,118,Maj-AL,Baltimore,153,635,572,103,149,29,9,29,84,57,1,163,3,0,3,10,10,4,0.261,0.329,0.495,0.824,683002
Jonathan India,26,128,Maj-NL,Cincinnati,119,529,454,78,111,23,0,17,61,52,0,109,16,0,7,13,14,2,0.245,0.338,0.408,0.746,663697
Heston Kjerstad,24,127,Maj-AL,Baltimore,13,33,30,3,7,1,0,2,3,2,0,10,0,0,0,0,0,0,0.233,0.281,0.467,0.748,677008
Brandon Lowe,28,137,Maj-AL,Tampa Bay,109,436,377,58,87,15,1,21,68,50,0,119,6,0,3,8,7,0,0.231,0.328,0.443,0.771,664040
J.D. Martinez,35,117,Maj-NL,Los Angeles,115,491,442,62,119,27,2,34,104,36,1,153,2,0,9,11,1,0,0.269,0.321,0.57,0.891,502110
Gabriel Moreno,23,96,Maj-NL,Arizona,128,450,404,39,112,20,1,11,62,35,0,95,3,1,7,18,6,2,0.277,0.334,0.413,0.748,672515
Vinnie Pasquantino,25,241,Maj-AL,Kansas City,61,260,231,24,57,17,0,9,26,25,2,31,2,0,1,7,0,0,0.247,0.324,0.437,0.762,686469
Amed Rosario,27,127,"Maj-AL,Maj-NL","Cleveland,Los Angeles",142,545,510,70,134,25,8,6,58,29,0,99,3,0,3,15,15,2,0.263,0.305,0.378,0.683,642708
Adley Rutschman,25,118,Maj-AL,Baltimore,157,700,600,84,164,32,1,20,80,93,6,103,2,0,5,14,1,2,0.273,0.37,0.43,0.8,668939
Gleyber Torres,26,128,Maj-AL,New York,158,672,596,90,163,28,2,25,68,67,0,98,3,0,6,19,13,6,0.274,0.347,0.453,0.8,650402
Adam Wainwright,41,127,Maj-NL,St. Louis,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,425794
Jordan Walker,21,127,Maj-NL,St. Louis,117,465,420,51,116,19,2,16,51,37,0,104,6,0,2,9,7,4,0.276,0.342,0.445,0.787,691023
Jordan Westburg,24,118,Maj-AL,Baltimore,71,237,217,28,56,18,2,3,23,16,0,60,1,0,3,3,4,1,0.258,0.308,0.401,0.709,676059
Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Scott Barlow,30,127,"Maj-AL,Maj-NL","Kansas City,San Diego",63,0,2.0,6.0,13.0,68.0,61,39,33,34,79,4,5,4.37,252,10,1,3,5,6,11,0,0,299,1198,0.64,0.2,0.13,0.44,0.29,0.08,1.397,0.326,10.5,2.32,605130
Prelander Berroa,23,127,Maj-AL,Seattle,2,0,,,,1.2,0,0,0,3,3,0,0,0.0,5,0,0,0,0,0,0,0,0,8,41,0.46,0.17,0.15,0.5,0.0,0.0,1.8,0.0,16.2,1.0,672860
Taj Bradley,22,127,Maj-AL,Tampa Bay,23,21,5.0,8.0,,104.2,106,69,65,39,129,23,1,5.59,416,25,3,0,2,4,0,0,0,460,1821,0.65,0.15,0.11,0.36,0.28,0.12,1.385,0.31,11.1,3.31,671737
Matt Brash,25,128,Maj-AL,Seattle,78,0,9.0,4.0,4.0,70.2,65,26,24,29,107,3,6,3.06,269,9,2,0,3,4,5,0,0,308,1306,0.62,0.18,0.16,0.46,0.2,0.04,1.33,0.38,13.6,3.69,666374
Shintaro Fujinami,29,127,Maj-AL,"Baltimore,Oakland",64,7,7.0,8.0,2.0,79.0,73,65,63,45,83,9,7,7.18,302,18,2,1,6,3,7,0,0,357,1405,0.6,0.14,0.12,0.39,0.26,0.08,1.494,0.301,9.5,1.84,660261
Tony Gonsolin,29,171,Maj-NL,Los Angeles,20,20,8.0,5.0,,103.0,86,61,57,40,82,19,7,4.98,381,15,0,1,8,5,8,1,0,435,1665,0.64,0.15,0.1,0.36,0.24,0.08,1.223,0.235,7.2,2.05,664062
MacKenzie Gore,24,150,Maj-NL,Washington,27,27,7.0,10.0,,136.1,134,71,67,57,151,27,1,4.42,519,19,2,0,16,4,10,3,5,582,2461,0.63,0.15,0.12,0.39,0.26,0.06,1.401,0.31,10.0,2.65,669022
Emerson Hancock,24,169,Maj-AL,Seattle,3,3,,,,12.0,13,6,6,3,6,1,0,4.5,46,0,0,0,2,0,4,1,0,49,194,0.67,0.14,0.08,0.5,0.15,0.08,1.333,0.308,4.5,2.0,676106
Clay Holmes,30,128,Maj-AL,New York,66,0,4.0,4.0,24.0,63.0,51,22,20,23,71,2,3,2.86,234,9,1,0,6,2,2,0,0,262,1024,0.64,0.2,0.11,0.67,0.21,0.02,1.175,0.301,10.1,3.09,605280
Drey Jameson,25,214,Maj-NL,Arizona,15,3,3.0,1.0,1.0,40.2,40,15,15,18,37,6,1,3.32,154,6,0,0,6,1,0,0,1,174,674,0.63,0.17,0.13,0.47,0.18,0.03,1.426,0.304,8.2,2.06,686753
Tyler Mahle,28,284,Maj-AL,Minnesota,5,5,1.0,2.0,,25.2,22,11,9,5,28,5,0,3.16,97,4,0,0,2,0,2,1,0,102,422,0.64,0.18,0.1,0.38,0.26,0.12,1.052,0.266,9.8,5.6,641816
Mason Miller,24,127,Maj-AL,Oakland,10,6,,3.0,,33.1,24,15,14,16,38,2,3,3.78,118,4,1,0,1,2,1,2,0,139,609,0.61,0.14,0.11,0.26,0.26,0.15,1.2,0.275,10.3,2.38,695243
Rafael Montero,32,127,Maj-AL,Houston,68,0,3.0,3.0,1.0,67.1,74,40,38,29,79,11,3,5.08,265,14,3,0,6,1,11,2,1,298,1253,0.62,0.13,0.13,0.4,0.26,0.05,1.53,0.358,10.6,2.72,606160
Brady Singer,26,140,Maj-AL,Kansas City,29,29,8.0,11.0,,159.2,182,102,98,49,133,20,8,5.52,634,44,5,0,13,10,11,3,0,702,2613,0.64,0.18,0.1,0.5,0.24,0.04,1.447,0.33,7.5,2.71,663903
Tarik Skubal,26,131,Maj-AL,Detroit,15,15,7.0,3.0,,80.1,58,28,25,14,102,4,3,2.8,292,11,3,0,8,1,4,0,1,310,1219,0.69,0.16,0.15,0.52,0.2,0.09,0.896,0.289,11.4,7.29,669373
Erik Swanson,29,127,Maj-AL,Toronto,69,0,4.0,2.0,4.0,66.2,52,22,22,21,75,8,0,2.97,240,8,1,0,8,0,8,1,1,262,1058,0.65,0.15,0.15,0.4,0.16,0.07,1.095,0.28,10.1,3.57,657024
Adam Wainwright,41,140,Maj-NL,St. Louis,21,21,5.0,11.0,,101.0,151,89,83,41,55,20,1,7.4,438,36,2,0,13,2,4,0,0,484,1788,0.61,0.2,0.05,0.41,0.27,0.04,1.901,0.359,4.9,1.34,425794
