Adley Rutschman
Ty France
Gleyber Torres
Gunnar Henderson
Elly De La Cruz
Jordan Walker
Brandon Lowe
Corbin Carroll
Teoscar Hernandez
Julio Rodriguez
Alec Bohm
Jordan Westburg
Gabriel Moreno
Jackson Holliday
Amed Rosario
Heston Kjerstad
Vinnie Pasquantino
Jonathan India
J.D. Martinez
MacKenzie Gore
Pablo Lopez
Brady Singer
Adam Wainwright
Taj Bradley
Eury Perez
Tarik Skubal
Scott Barlow
Matt Brash
Shintaro Fujinami
Clay Holmes
Rafael Montero
Daniel Espino
Jack Leiter
Andrew Painter
Prelander Berroa
Tony Gonsolin
Emerson Hancock
Drey Jameson
Tyler Mahle
Mason Miller
Erik Swanson
